appname,platform,country,appid
Trip.com,GooglePlay,us,ctrip.english
Trip.com,AppStore,us,681752345
明日方舟,AppStore,us,1464872022
明日方舟,AppStore,jp,1478990007
明日方舟,AppStore,kr,1473903308
碧蓝航线,AppStore,us,1411126549
江南百景图,AppStore,cn,1498402704
江南百景图,TapTap,cn,179371
朕的江山,AppStore,jp,1139683379
朕的江山,AppStore,us,1139683379
战国布武,AppStore,jp,1434020928
战国布武,AppStore,us,1434020928
正统三国,AppStore,jp,1213322335
正统三国,AppStore,us,1213322335
朕的江山,GooglePlay,us,com.jedigames.p20.googleplay
育龙大作战,GooglePlay,us,com.jdgames.dragon.googleplay
战国布武,GooglePlay,us,com.jdgames.p20n.googleplay
银河战舰,GooglePlay,us,com.jdgames.p16snew.googleplay
正统三国,GooglePlay,us,com.jedigames.ztsgnew.googleplay
月圆之夜,AppStore,cn,1278845241
